original_path,original_filename,domain,disposition,target_area,syntax,lines,sha256,top_imports
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\Archive\jpg_classfy.py,jpg_classfy.py,datasets,ARCHIVE,src/coastline/datasets,ok,88,190465ee48f6f801e5039718af548d7798b081999c5ad933123a9f7b6ea29138,dbfread;os;random;shutil
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\Archive\jpg_train_verify.py,jpg_train_verify.py,datasets,ARCHIVE,src/coastline/datasets,ok,51,0f1ef842337f4d23ac65c3b9acfab91c8e5e87c9239ffb12feac5f774253dda4,os;random;shutil
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\Archive\verify_jpg_mark.py,verify_jpg_mark.py,utils,ARCHIVE,src/coastline/utils,ok,89,2ea4fe3894758ae890523661a8fb85a2b92832eb90f82c80ab36046c0aac00b7,geopandas;os;random;shutil
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\Archive\verify_shp_mark.py,verify_shp_mark.py,models,ARCHIVE,src/coastline/models,ok,56,84c1d710379d0ae9cb3d44f46f0ad08c007e2bd596595262cc0a6edfb2246c1e,geopandas;os
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\Dataset\convert_tiff_to_jpg.py,convert_tiff_to_jpg.py,datasets,ARCHIVE,src/coastline/datasets,ok,92,37dcff470c01f003a77fa5347852087fbe639aeda57a281133c215e2c81570b0,PIL;numpy;os;osgeo;random;time;typing
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\Dataset\dbf_classfy_jpg_train_verify.py,dbf_classfy_jpg_train_verify.py,datasets,ARCHIVE,src/coastline/datasets,ok,90,12a296ee4022654abe9f8abf93c5572c3eb0827c1293744048eb0220c26a0e70,dbfread;os;random;shutil
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\Dataset\jpg_shp_verify.py,jpg_shp_verify.py,datasets,ARCHIVE,src/coastline/datasets,ok,49,44ab979f7e8166549845dd653ddfeae0d73258258bcc3dedd45ad728dd8c546c,arcpy;os
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\Dataset\link_cla_poi.py,link_cla_poi.py,datasets,ARCHIVE,src/coastline/datasets,ok,45,139701eb18c29cf8849d50e04d316c54548c504205fcc8d66c2d4dbba496f1ff,geopandas;numpy;scipy;shapely
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\Dataset\statistic_spatial_join.py,statistic_spatial_join.py,datasets,ARCHIVE,src/coastline/datasets,ok,33,eb4866dac9eb6e780d837f485475fc76c3069f4fef109ab8d6eca6f28862f42d,collections;dbfread
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\Dataset\图像随机数据增强工具.py,图像随机数据增强工具.py,datasets,ARCHIVE,src/coastline/datasets,ok,200,49ea06af7257a43a74c67612e83598467cb729099e9054fd8d1341d76778c5f2,PIL;argparse;cv2;logging;numpy;os;pathlib;random
